Accuracy,Precision,Recall,F1Score
0.9437,0.9034,0.8821,0.8926
0.9287,0.8571,0.8774,0.8671
0.9325,0.8591,0.8915,0.875
0.9387,0.8721,0.9009,0.8863
0.9325,0.8465,0.9104,0.8773
0.945,0.8853,0.9104,0.8977
0.9363,0.8889,0.8679,0.8783
0.9437,0.8957,0.8915,0.8936
0.925,0.8725,0.8396,0.8558
0.94,0.8661,0.9151,0.8899
0.9475,0.8899,0.9151,0.9023
0.94,0.8628,0.9198,0.8904
0.9463,0.893,0.9057,0.8993
0.9425,0.9278,0.8491,0.8867
0.9137,0.8488,0.8208,0.8345
0.9313,0.8552,0.8915,0.873
0.9375,0.8716,0.8962,0.8837
0.9463,0.8967,0.9009,0.8988
0.9375,0.8821,0.8821,0.8821
0.9413,0.8767,0.9057,0.891
