Accuracy,Precision,Recall,F1_Score
0.9089,0.9174,0.8988,0.908
0.8745,0.8627,0.8907,0.8765
0.8684,0.8611,0.8785,0.8697
0.8866,0.8775,0.8988,0.888
0.8664,0.8606,0.8745,0.8675
0.8765,0.8577,0.9028,0.8797
0.8866,0.8687,0.9109,0.8893
0.8806,0.876,0.8866,0.8813
0.8684,0.8583,0.8826,0.8703
0.8887,0.884,0.8947,0.8893
0.8968,0.8984,0.8947,0.8966
0.8846,0.874,0.8988,0.8862
0.8947,0.8916,0.8988,0.8952
0.8846,0.874,0.8988,0.8862
0.8603,0.845,0.8826,0.8634
0.8846,0.8626,0.915,0.888
0.8846,0.877,0.8947,0.8858
0.8907,0.8755,0.9109,0.8929
0.8704,0.8617,0.8826,0.872
0.8704,0.8675,0.8745,0.871
0.8603,0.8618,0.8583,0.86
0.8785,0.8502,0.919,0.8833
0.8725,0.8594,0.8907,0.8748
0.8684,0.8555,0.8866,0.8708
0.8745,0.8491,0.9109,0.8789
0.8846,0.874,0.8988,0.8862
0.8785,0.8755,0.8826,0.879
0.8583,0.8554,0.8623,0.8589
0.8725,0.877,0.8664,0.8717
0.9089,0.9106,0.9069,0.9087
