Accuracy,Precision,Recall,F1Score
0.925,0.8393,0.8868,0.8624
0.9175,0.8259,0.8726,0.8486
0.9175,0.8202,0.8821,0.85
0.9275,0.8348,0.9057,0.8688
0.9062,0.7819,0.8962,0.8352
0.9187,0.8182,0.8915,0.8533
0.9175,0.8288,0.8679,0.8479
0.92,0.8304,0.8774,0.8532
0.9113,0.8106,0.8679,0.8383
0.9263,0.837,0.8962,0.8656
0.925,0.8333,0.8962,0.8636
0.9337,0.8412,0.9245,0.8809
0.9125,0.8142,0.8679,0.8402
0.93,0.8645,0.8726,0.8685
0.9163,0.8281,0.8632,0.8453
0.9125,0.8008,0.8915,0.8438
0.915,0.8186,0.8726,0.8447
0.9163,0.8341,0.8538,0.8438
0.9275,0.8438,0.8915,0.867
0.935,0.8636,0.8962,0.8796
