Accuracy,Precision,Recall,F1Score
0.9513,0.9261,0.8868,0.906
0.9275,0.8632,0.8632,0.8632
0.9275,0.8598,0.8679,0.8638
0.935,0.8774,0.8774,0.8774
0.915,0.8333,0.8491,0.8411
0.9425,0.8739,0.9151,0.894
0.9287,0.8818,0.8443,0.8627
0.93,0.8824,0.8491,0.8654
0.9325,0.8911,0.8491,0.8696
0.9425,0.8773,0.9104,0.8935
0.9487,0.9091,0.8962,0.9026
0.9375,0.8682,0.9009,0.8843
0.9325,0.8726,0.8726,0.8726
0.955,0.9356,0.8915,0.913
0.9325,0.9031,0.8349,0.8676
0.9375,0.8716,0.8962,0.8837
0.9287,0.8708,0.8585,0.8646
0.93,0.8645,0.8726,0.8685
0.9437,0.9113,0.8726,0.8916
0.9487,0.9212,0.8821,0.9012
