iter	Logloss
0	0.6845844472
1	0.6762445932
2	0.667760943
3	0.6603395184
4	0.6529383968
5	0.645827793
6	0.6403684569
7	0.6336197156
8	0.6280316416
9	0.6199981255
10	0.6134552963
11	0.6082187799
12	0.6019591376
13	0.5961150107
14	0.5894871598
15	0.5838512694
16	0.5781830646
17	0.5735013466
18	0.5686061598
19	0.5635143795
20	0.5594548564
21	0.5550676096
22	0.5505786033
23	0.546138792
24	0.5426747159
25	0.5384638053
26	0.5340577018
27	0.5294979852
28	0.5251778012
29	0.5204558093
30	0.516406257
31	0.5127128784
32	0.5089628391
33	0.5047064545
34	0.5013427205
35	0.4979338727
36	0.4948109701
37	0.4909595929
38	0.48748282
39	0.4843555925
40	0.4807118099
41	0.4777010033
42	0.4745523836
43	0.4718298388
44	0.469080231
45	0.4658221818
46	0.4622158566
47	0.4600557278
48	0.4573642189
49	0.4545534353
50	0.4510452177
51	0.4488234007
52	0.445618198
53	0.443408356
54	0.4408329242
55	0.4376853641
56	0.4350586338
57	0.4321842499
58	0.4300782021
59	0.4274090951
60	0.425375311
61	0.4235925587
62	0.4211402034
63	0.419024339
64	0.4167358042
65	0.4142898522
66	0.4119941154
67	0.4092560849
68	0.4068909604
69	0.4044951992
70	0.4029308359
71	0.4005679685
72	0.3983600719
73	0.3965157332
74	0.3943251834
75	0.392153815
76	0.3902891923
77	0.3887125571
78	0.3871262282
79	0.3859823188
80	0.3834284457
81	0.3810092822
82	0.379717556
83	0.3775058901
84	0.3756313306
85	0.3736233752
86	0.3713507134
87	0.3698832421
88	0.3676354932
89	0.36635878
90	0.3639671649
91	0.3623439335
92	0.3607637255
93	0.3592170798
94	0.3573926543
95	0.3551431035
96	0.354017409
97	0.3523531508
98	0.3508105137
99	0.3490245109
100	0.3476563546
101	0.346327799
102	0.3446459818
103	0.343304253
104	0.3417250329
105	0.3407395864
106	0.3388124334
107	0.3376977368
108	0.336778218
109	0.3356587834
110	0.3336114404
111	0.331530825
112	0.3302325491
113	0.3285855586
114	0.3274395251
115	0.3261434272
116	0.3236226218
117	0.322480436
118	0.3208018674
119	0.3193111035
120	0.3179748856
121	0.3164842742
122	0.315427705
123	0.3142212512
124	0.3133570039
125	0.3120851727
126	0.3110355584
127	0.3096511127
128	0.3083934292
129	0.3071436782
130	0.3059077765
131	0.304681846
132	0.3033747635
133	0.3023819426
134	0.3011681323
135	0.3004274396
136	0.2993861495
137	0.2975669041
138	0.2965155259
139	0.2956601537
140	0.2945283023
141	0.2934918612
142	0.2926389527
143	0.2911034532
144	0.2900384838
145	0.28881798
146	0.2876004056
147	0.2865924724
148	0.2858357426
149	0.2852126995
150	0.2840467255
151	0.2829262923
152	0.2822928566
153	0.2811657494
154	0.2803077922
155	0.2791010124
156	0.2778873114
157	0.2771986142
158	0.2762773141
159	0.2753211576
160	0.2743116888
161	0.2731689014
162	0.2724425696
163	0.271690134
164	0.2705227068
165	0.2697970416
166	0.2688247452
167	0.2681164545
168	0.2672597731
169	0.2663853484
170	0.2657469828
171	0.2651273701
172	0.2642338313
173	0.2634981336
174	0.262795607
175	0.2618701353
176	0.2610275718
177	0.2599523229
178	0.2593433524
179	0.2587950484
180	0.2578124005
181	0.2571045115
182	0.2561244471
183	0.255375621
184	0.254930991
185	0.2541836622
186	0.2532864716
187	0.2525833713
188	0.2519245931
189	0.2513781539
190	0.2505727311
191	0.2498559942
192	0.2487124915
193	0.2478885266
194	0.2472036875
195	0.2463102395
196	0.2456406872
197	0.2449316734
198	0.244260722
199	0.2436613254
200	0.2428643954
201	0.2422012908
202	0.2414147546
203	0.2402660311
204	0.2394297695
205	0.2388127629
206	0.2381605854
207	0.237280752
208	0.2368454519
209	0.2361942656
210	0.2355413412
211	0.2349221467
212	0.2344151076
213	0.2339315307
214	0.2333931918
215	0.2327656376
216	0.2321659341
217	0.2313816947
218	0.2308553424
219	0.2301379751
220	0.2293193539
221	0.228737638
222	0.2278094893
223	0.2271798161
224	0.2262893603
225	0.2256926771
226	0.2250551278
227	0.224456478
228	0.2239004683
229	0.2232583372
230	0.2224994483
231	0.221773987
232	0.2213652544
233	0.2208390156
234	0.22041565
235	0.2197895667
236	0.2192540713
237	0.2188140514
238	0.2183876188
239	0.2178432398
240	0.2173489347
241	0.2168377626
242	0.2161962824
243	0.2154040929
244	0.2148850462
245	0.2144329547
246	0.2141084574
247	0.213448322
248	0.2128809228
249	0.2124130866
250	0.2119172389
251	0.2114460077
252	0.2109675751
253	0.210571448
254	0.2101999685
255	0.2098214174
256	0.2093244066
257	0.2088639661
258	0.2083448358
259	0.2078855798
260	0.2073793395
261	0.2065535503
262	0.2060444077
263	0.2055720211
264	0.2051444243
265	0.2046811004
266	0.2041942378
267	0.2036117498
