iter	Passed	Remaining
0	152	152247
1	162	81273
2	170	56800
3	176	44024
4	180	35827
5	183	30325
6	185	26382
7	189	23486
8	192	21210
9	195	19383
10	198	17864
11	201	16601
12	204	15553
13	208	14697
14	211	13901
15	214	13197
16	217	12590
17	220	12049
18	224	11581
19	227	11136
20	230	10732
21	233	10373
22	236	10039
23	239	9752
24	242	9464
25	245	9198
26	248	8954
27	251	8725
28	254	8528
29	257	8331
30	260	8144
31	263	7972
32	266	7808
33	269	7663
34	273	7533
35	276	7395
36	279	7264
37	282	7142
38	285	7022
39	288	6918
40	291	6811
41	294	6709
42	297	6612
43	300	6520
44	303	6442
45	306	6365
46	310	6295
47	313	6217
48	316	6141
49	320	6088
50	323	6020
51	326	5951
52	329	5885
53	332	5823
54	336	5781
55	343	5791
56	348	5759
57	353	5737
58	358	5711
59	362	5685
60	367	5657
61	374	5662
62	381	5675
63	389	5703
64	397	5717
65	405	5744
66	413	5755
67	421	5776
68	429	5790
69	437	5812
70	445	5823
71	458	5909
72	473	6019
73	488	6108
74	502	6194
75	515	6271
76	530	6361
77	544	6440
78	557	6498
79	567	6529
80	576	6539
81	606	6794
82	621	6862
83	635	6933
84	651	7011
85	659	7005
86	691	7253
87	707	7332
88	719	7368
89	731	7395
90	744	7441
91	759	7497
92	775	7566
93	790	7618
94	804	7665
95	814	7671
96	829	7722
97	842	7754
98	860	7828
99	875	7876
100	889	7920
101	908	8002
102	925	8062
103	939	8096
104	957	8158
105	988	8332
106	1003	8376
107	1020	8430
108	1041	8517
109	1056	8549
110	1100	8815
111	1108	8789
112	1116	8766
113	1122	8722
114	1140	8777
115	1155	8806
116	1169	8826
117	1182	8835
118	1190	8815
119	1201	8814
120	1222	8877
121	1238	8911
122	1252	8927
123	1266	8946
124	1295	9065
125	1309	9084
126	1323	9096
127	1337	9109
128	1351	9123
129	1366	9146
130	1380	9157
131	1394	9167
132	1409	9190
133	1421	9184
134	1434	9192
135	1448	9200
136	1462	9215
137	1476	9221
138	1489	9228
139	1504	9243
140	1521	9272
141	1537	9291
142	1551	9297
143	1566	9312
144	1580	9318
145	1595	9332
146	1609	9338
147	1622	9338
148	1637	9349
149	1656	9385
150	1672	9402
151	1685	9403
152	1699	9406
153	1715	9426
154	1729	9431
155	1752	9480
156	1766	9483
157	1780	9487
158	1794	9491
159	1809	9499
160	1823	9505
161	1830	9467
162	1848	9492
163	1863	9498
164	1877	9503
165	1892	9506
166	1906	9510
167	1924	9531
168	1939	9534
169	1957	9557
170	1972	9563
171	1989	9575
172	2003	9577
173	2018	9582
174	2034	9592
175	2052	9610
176	2069	9623
177	2080	9609
178	2088	9580
179	2097	9556
180	2105	9527
181	2114	9502
182	2122	9473
183	2127	9435
184	2133	9399
185	2141	9371
186	2154	9365
187	2168	9364
188	2184	9372
189	2198	9373
190	2214	9377
191	2230	9384
192	2243	9380
193	2258	9383
194	2273	9384
195	2288	9388
196	2304	9392
197	2319	9395
198	2334	9397
199	2349	9397
200	2363	9396
201	2378	9395
202	2391	9389
203	2406	9390
204	2421	9390
205	2432	9375
206	2440	9347
207	2453	9342
208	2468	9341
209	2482	9339
210	2497	9337
211	2511	9335
212	2526	9333
213	2539	9325
214	2550	9312
215	2566	9316
216	2581	9313
217	2597	9318
218	2612	9318
219	2627	9314
220	2641	9312
221	2655	9306
222	2664	9284
223	2692	9328
224	2706	9322
225	2720	9318
226	2734	9312
227	2744	9292
228	2759	9291
229	2777	9297
230	2786	9275
231	2797	9261
232	2811	9254
233	2825	9249
234	2839	9242
235	2852	9234
236	2871	9246
237	2886	9240
238	2891	9207
239	2897	9175
240	2907	9157
241	2921	9150
242	2934	9142
243	2947	9133
244	2960	9123
245	2974	9118
246	2989	9112
247	3004	9109
248	3017	9101
249	3031	9094
250	3043	9083
