Accuracy,Precision,Recall,F1Score
0.9225,0.8641,0.8396,0.8517
0.9113,0.8341,0.8302,0.8322
0.9163,0.8251,0.8679,0.846
0.93,0.8545,0.8868,0.8704
0.91,0.8153,0.8538,0.8341
0.9213,0.8341,0.8774,0.8552
0.9,0.8438,0.7642,0.802
0.9163,0.8372,0.8491,0.8431
0.9087,0.8424,0.8066,0.8241
0.9313,0.8618,0.8821,0.8718
0.93,0.8645,0.8726,0.8685
0.915,0.8273,0.8585,0.8426
0.9137,0.8295,0.8491,0.8392
0.9275,0.8632,0.8632,0.8632
0.9125,0.8413,0.8255,0.8333
0.9087,0.8203,0.8396,0.8298
0.9038,0.8111,0.8302,0.8205
0.9038,0.8082,0.8349,0.8213
0.9163,0.8469,0.8349,0.8409
0.93,0.8824,0.8491,0.8654
