Lifetime,Avg_class_frequency_current_month,Age,Contract_period,Month_to_end_contract,Churn
1,2.7075474106192594,31,1,1.0,0
4,2.1633004097179924,26,6,6.0,0
1,2.5774364302780275,31,6,6.0,0
7,1.6104472710457884,28,12,5.0,0
0,0.4045514491730148,26,1,1.0,1
2,2.5326252440647807,28,1,1.0,0
2,0.3735096266089256,30,1,1.0,0
0,1.7759007277741397,24,1,1.0,1
3,3.7568045419689895,28,1,1.0,0
6,2.7978826328771484,30,1,1.0,0
5,1.80889273099354,30,12,7.0,0
17,2.565624968859067,30,12,9.0,0
7,2.008086902570278,32,12,8.0,0
3,2.166155677261397,28,12,12.0,0
3,0.2249304070343734,30,1,1.0,0
8,2.708012347155649,27,1,1.0,0
3,2.3480564587743977,33,1,1.0,0
10,2.34665265171142,35,6,4.0,0
5,2.9491541151582013,34,1,1.0,0
3,0.8075379677465921,31,6,6.0,0
2,1.6788351639373058,31,1,1.0,1
3,2.9349929260552137,32,1,1.0,0
3,1.6217390426963392,31,1,1.0,0
0,3.2550140322339187,31,1,1.0,1
3,0.4525413274206438,32,12,12.0,0
14,2.013307652224265,34,1,1.0,0
2,1.5777862858387048,33,1,1.0,0
5,2.667067807718234,27,6,6.0,0
5,2.6303587059546043,28,1,1.0,0
1,0.8617427211748028,35,6,3.0,0
9,0.1940923421545832,32,12,10.0,0
15,0.8466827993267467,24,1,1.0,0
5,1.6563407245396995,29,6,5.0,0
3,0.2131890921930141,23,12,11.0,0
16,0.0,27,1,1.0,0
4,1.8280643775967964,31,12,10.0,0
4,2.442352215996268,28,1,1.0,0
3,2.408648799174446,33,1,1.0,0
7,3.5667481549595617,28,1,1.0,0
3,0.3283673048066917,29,1,1.0,1
1,0.5893429936109357,33,1,1.0,0
3,3.350907071052677,33,1,1.0,0
9,2.2571231206268108,31,1,1.0,0
1,2.729694407590572,35,12,12.0,0
2,1.4804635793898124,36,1,1.0,0
6,2.879737660535264,31,12,11.0,0
5,3.382426486247132,30,1,1.0,0
2,1.1711309626950657,31,12,11.0,0
0,0.619474633972755,26,1,1.0,1
9,1.6012410500461938,30,12,11.0,0
8,1.1192968929917098,32,12,12.0,0
16,2.5840815963076884,35,12,12.0,0
